object_id,count_bhuvan_pixels,count_inundated_pixels,inundation_pct,inundation_intensity_mean,inundation_intensity_mean_nonzero,inundation_intensity_sum
09-194-00986,264230,0,0.0,0.0,,0.0
09-165-00855,391542,0,0.0,0.0,,0.0
09-175-00895,367474,0,0.0,0.0,,0.0
09-169-00868,543161,0,0.0,0.0,,0.0
09-173-00881,477275,0,0.0,0.0,,0.0
09-153-00801,671058,32393,0.04827153539634428,0.01637228078645959,0.3391704997993394,10986.75
09-191-00969,290817,0,0.0,0.0,,0.0
09-196-00992,295253,0,0.0,0.0,,0.0
09-194-00981,314504,0,0.0,0.0,,0.0
09-142-00745,138357,0,0.0,0.0,,0.0
09-193-00976,178340,6731,0.0377425142985309,0.009435628574632725,0.25,1682.75
09-163-00847,238667,0,0.0,0.0,,0.0
09-174-00885,264114,0,0.0,0.0,,0.0
09-176-00899,186307,3848,0.02065408170385439,0.006372546388487818,0.3085369022869023,1187.25
09-155-00810,470255,49574,0.10541940011270481,0.029517495826732305,0.2800006051559285,13880.75
09-142-00747,311571,3,9.62862397334797e-06,2.4071559933369924e-06,0.25,0.75
09-177-00904,195264,7710,0.039485004916420846,0.015261389708292362,0.3865110246433204,2980.0
09-175-00888,297872,0,0.0,0.0,,0.0
09-179-00915,343161,0,0.0,0.0,,0.0
09-166-00858,393596,0,0.0,0.0,,0.0
09-167-00861,530899,0,0.0,0.0,,0.0
09-189-00958,296625,0,0.0,0.0,,0.0
09-178-00907,215692,1862,0.008632679932496338,0.0022381451328746544,0.2592642320085929,482.75
09-183-00930,479320,38449,0.0802157222732204,0.03361011432863223,0.4189965928892819,16110.0
09-706-00824,300683,0,0.0,0.0,,0.0
09-160-00835,329400,1442,0.00437765634486946,0.001094414086217365,0.25,360.5
09-182-00926,694511,685,0.0009863054724835172,0.0003639251214163635,0.368978102189781,252.75
09-158-00828,191411,0,0.0,0.0,,0.0
09-156-00816,450282,8186,0.018179718487525594,0.0045449296218813984,0.25,2046.5
09-165-00854,414211,0,0.0,0.0,,0.0
09-182-00927,332992,2860,0.008588794926004228,0.0030961704785700556,0.3604895104895105,1031.0
09-151-00792,799198,31756,0.039734834171256686,0.012710554831218296,0.3198844312885754,10158.25
09-146-00766,245147,0,0.0,0.0,,0.0
09-159-00831,159959,66543,0.4160003500897105,0.1368506929900787,0.3289677351487008,21890.5
09-146-00765,212505,0,0.0,0.0,,0.0
09-139-00736,185647,0,0.0,0.0,,0.0
09-146-00770,399729,0,0.0,0.0,,0.0
09-139-00735,336441,0,0.0,0.0,,0.0
09-132-00701,475536,0,0.0,0.0,,0.0
09-161-00839,320874,2,6.2329761837980016e-06,1.5582440459495004e-06,0.25,0.5
09-181-00923,604889,8180,0.013523142262464684,0.0036643086582827593,0.27096577017114915,2216.5
09-135-00718,30548,1181,0.0386604687704596,0.0096651171926149,0.25,295.25
09-159-00830,426482,12721,0.029827753574594003,0.007466317453022636,0.25031444068862513,3184.25
09-146-00768,361215,0,0.0,0.0,,0.0
09-146-00767,325049,0,0.0,0.0,,0.0
09-161-00837,75946,0,0.0,0.0,,0.0
09-144-00757,123732,0,0.0,0.0,,0.0
09-136-00727,196786,10130,0.05147723923449839,0.016254967324911326,0.3157699901283317,3198.75
09-152-00795,465633,3432,0.007370611619021848,0.001842652904755462,0.25,858.0
09-704-00707,281095,0,0.0,0.0,,0.0
09-144-00758,256852,0,0.0,0.0,,0.0
09-147-00774,340107,0,0.0,0.0,,0.0
09-136-00723,187020,179,0.0009571168858945568,0.0002392792214736392,0.25,44.75
09-143-00754,410192,2423,0.005906989897413894,0.0014767474743534734,0.25,605.75
09-151-00791,432129,12086,0.02796850014694686,0.007150642516470776,0.2556677147112361,3090.0
09-143-00753,226024,0,0.0,0.0,,0.0
09-143-00756,249299,0,0.0,0.0,,0.0
09-143-00752,318265,0,0.0,0.0,,0.0
09-143-00755,483242,0,0.0,0.0,,0.0
09-151-00790,488682,2556,0.005230395226343511,0.0013265272713134512,0.2536189358372457,648.25
09-154-00806,438084,39725,0.09067895654714621,0.025720523917787456,0.2836438011327879,11267.75
09-154-00805,437183,37402,0.08555227444800004,0.02699613205454009,0.31555130741671567,11802.25
09-154-00807,364754,17790,0.04877259742182402,0.012614666323056087,0.2586424957841484,4601.25
09-154-00803,630238,0,0.0,0.0,,0.0
09-154-00808,344653,0,0.0,0.0,,0.0
09-154-00804,384169,29,7.548761092123518e-05,1.8871902730308795e-05,0.25,7.25
09-139-00737,85364,0,0.0,0.0,,0.0
09-137-00718,136360,281,0.00206072161924318,0.000515180404810795,0.25,70.25
09-202-01011,205123,389,0.001896423121736714,0.0004741057804341785,0.25,97.25
09-178-00911,138083,0,0.0,0.0,,0.0
09-173-00884,190238,0,0.0,0.0,,0.0
