object_id,stname,dtname,sdtname,st_area_sh,st_length_,remarks,dist_lgd,state_lgd,subdt_lgd,ac_no,st_length(shape),st_area(shape),max,mean,count,sum
09-152-00794,UTTAR PRADESH,Shahjahanpur,Tilhar,0.0,0.0,,180,9,794,131,324982.8640504056,1382260681.0611176,0.032193213391304015,0.018443573500234175,984,18.14847632423043
09-147-00771,UTTAR PRADESH,Firozabad,Tundla,0.0,0.0,,143,9,771,95,196332.73992889927,492523069.626588,0.04479186997413635,0.01650812216416169,356,5.876891490441562
09-185-00939,UTTAR PRADESH,Basti,Basti,0.0,0.0,,131,9,939,311,219502.8523701472,1080521224.7044394,0.07814870910644532,0.06828469677762095,781,53.33034818332196
09-198-00997,UTTAR PRADESH,Bhadohi,Bhadohi,0.0,0.0,,179,9,997,392,252252.82313762995,434049751.43031913,0.03394327783584595,0.014863267362155975,312,4.637339416992664
09-185-00937,UTTAR PRADESH,Basti,Bhanpur,0.0,0.0,,131,9,937,309,201276.70105904288,546683352.0369202,0.07814870910644532,0.0315676736735322,391,12.34296040635109
09-190-00963,UTTAR PRADESH,Deoria,Bhatpar Rani,0.0,0.0,,137,9,963,340,139911.67694591556,447757082.8095866,0.09658290252685547,0.06632933645899994,322,21.35804633979798
09-163-00846,UTTAR PRADESH,Kanpur Dehat,Bhognipur,0.0,0.0,,156,9,846,208,167110.12113658673,821545642.5856451,0.013831791722774506,0.006533096507905517,597,3.9002586152195935
09-148-00777,UTTAR PRADESH,Mainpuri,Bhogaon,0.0,0.0,,166,9,777,109,269908.5750790272,1501267400.2022707,0.033600000000000005,0.010158196229345346,1068,10.848953572940829
09-162-00841,UTTAR PRADESH,Auraiya,Bidhuna,0.0,0.0,,122,9,841,202,232252.43593856948,1400986250.5871418,0.01223698702454567,0.005907066850555627,1012,5.977951652762294
09-156-00818,UTTAR PRADESH,Unnao,Bighapur,0.0,0.0,,186,9,818,166,169755.8293630389,778445854.6905546,0.014760401344299318,0.0075876476629884,566,4.294608577251434
09-134-00713,UTTAR PRADESH,Bijnor,Bijnor,0.0,0.0,,132,9,713,22,206681.51335015954,1108365310.7299905,0.025678539276123048,0.013236333772079233,776,10.271395007133485
09-177-00906,UTTAR PRADESH,Ayodhya,Bikapur,0.0,0.0,,140,9,906,274,207067.63464809116,701054717.4217612,0.03545059852600098,0.011002662041328671,508,5.589352316994965
09-155-00812,UTTAR PRADESH,Hardoi,Bilgram,0.0,0.0,,150,9,812,159,254141.8953667703,1205097441.3825023,0.022995202398300173,0.014424934781940506,870,12.54969326028824
09-164-00848,UTTAR PRADESH,Kanpur Nagar,Bilhaur,0.0,0.0,,157,9,848,209,220917.80722135722,1038064716.593689,0.020968539714813234,0.010321456332174723,745,7.689484967470169
09-149-00780,UTTAR PRADESH,Budaun,Bilsi,0.0,0.0,,133,9,780,113,148033.83435545128,464915462.1407976,0.023061431241035463,0.018787436864791663,327,6.143491854786873
09-172-00877,UTTAR PRADESH,Fatehpur,Bindki,0.0,0.0,,142,9,877,238,234260.33382678553,1609502303.2321815,0.016298356914520265,0.010125098337281797,1162,11.765364267921449
09-149-00779,UTTAR PRADESH,Budaun,Bisauli,0.0,0.0,,133,9,779,112,239442.5924662731,1204754900.3256004,0.023061431241035463,0.02042395151251314,865,17.666718058323866
